timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749973892070,62,Open home page,200,OK,Test Case 5 5-17,text,true,,74152,505,1,6,https://my-jmeter-site.ddev.site/,61,0,53
1749973892150,14,Open home page,200,OK,Test Case 6 6-17,text,true,,74152,505,1,6,https://my-jmeter-site.ddev.site/,14,0,5
1749973892524,15,Open home page,200,OK,Test Case 2 2-17,text,true,,74152,505,1,6,https://my-jmeter-site.ddev.site/,15,0,4
1749973892681,17,Open home page,200,OK,Test Case 1 1-17,text,true,,74152,505,2,7,https://my-jmeter-site.ddev.site/,16,0,5
1749973892744,15,Open home page,200,OK,Test Case 3 3-17,text,true,,74152,505,2,9,https://my-jmeter-site.ddev.site/,15,0,5
1749973893005,14,Open home page,200,OK,Test Case 4 4-17,text,true,,74152,505,2,12,https://my-jmeter-site.ddev.site/,13,0,5
1749973893635,25,Open content,200,OK,Test Case 6 6-17,text,true,,22496,512,2,12,https://my-jmeter-site.ddev.site/node/42,25,0,0
1749973893659,18,Click Login,200,OK,Test Case 2 2-17,text,true,,20861,515,2,12,https://my-jmeter-site.ddev.site/user/login,18,0,0
1749973893773,7,Click Login,200,OK,Test Case 3 3-17,text,true,,20861,515,2,12,https://my-jmeter-site.ddev.site/user/login,7,0,0
1749973893829,7,Search a keyword,200,OK,Test Case 5 5-17,text,true,,29232,526,2,12,https://my-jmeter-site.ddev.site/search/node?keys=abdo,7,0,0
1749973893933,13,Open home page,200,OK,Test Case 5 5-16,text,true,,74152,505,2,12,https://my-jmeter-site.ddev.site/,13,0,6
1749973894166,9,Click Login,200,OK,Test Case 1 1-17,text,true,,20861,515,2,12,https://my-jmeter-site.ddev.site/user/login,9,0,0
1749973894172,15,Open home page,200,OK,Test Case 2 2-16,text,true,,74152,505,2,12,https://my-jmeter-site.ddev.site/,14,0,5
1749973894210,8,Open content,200,OK,Test Case 4 4-17,text,true,,25866,511,2,12,https://my-jmeter-site.ddev.site/node/3,8,0,0
1749973894284,22,Open home page,200,OK,Test Case 4 4-16,text,true,,74152,505,2,12,https://my-jmeter-site.ddev.site/,21,0,10
1749973894834,18,Open home page,200,OK,Test Case 3 3-16,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,18,0,8
1749973894844,20,Open home page,200,OK,Test Case 1 1-16,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,20,0,7
1749973894976,20,Open home page,200,OK,Test Case 6 6-16,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,19,0,10
1749973895246,15,Open home page,200,OK,Test Case 4 4-17,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,14,0,7
1749973895412,9,Open content,200,OK,Test Case 5 5-17,text,true,,25866,511,3,18,https://my-jmeter-site.ddev.site/node/3,9,0,0
1749973895314,128,Enter credentials,200,OK,Test Case 1 1-17,text,true,,24590,1379,3,18,https://my-jmeter-site.ddev.site/user/10?check_logged_in=1,82,0,0
1749973895314,82,Enter credentials-0,303,See Other,Test Case 1 1-17,text,true,,1141,704,3,18,https://my-jmeter-site.ddev.site/user/login,82,0,0
1749973895396,46,Enter credentials-1,200,OK,Test Case 1 1-17,text,true,,23449,675,3,18,https://my-jmeter-site.ddev.site/user/10?check_logged_in=1,44,0,0
1749973895452,9,Open home page,200,OK,Test Case 6 6-17,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,9,0,0
1749973895484,9,Search a keyword,200,OK,Test Case 5 5-16,text,true,,29232,526,3,18,https://my-jmeter-site.ddev.site/search/node?keys=abdo,9,0,0
1749973895500,7,Click Login,200,OK,Test Case 2 2-16,text,true,,20861,515,3,18,https://my-jmeter-site.ddev.site/user/login,7,0,0
1749973895546,7,Open content,200,OK,Test Case 4 4-16,text,true,,23225,512,3,18,https://my-jmeter-site.ddev.site/node/35,7,0,0
1749973895535,114,Enter credentials,200,OK,Test Case 2 2-17,text,true,,24576,1378,3,18,https://my-jmeter-site.ddev.site/user/8?check_logged_in=1,72,0,0
1749973895535,72,Enter credentials-0,303,See Other,Test Case 2 2-17,text,true,,1136,704,3,18,https://my-jmeter-site.ddev.site/user/login,72,0,0
1749973895607,42,Enter credentials-1,200,OK,Test Case 2 2-17,text,true,,23440,674,3,18,https://my-jmeter-site.ddev.site/user/8?check_logged_in=1,40,0,0
1749973895663,12,Open home page,200,OK,Test Case 1 1-15,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,11,0,4
1749973895708,12,Open home page,200,OK,Test Case 2 2-15,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,11,0,4
1749973895873,8,Click Login,200,OK,Test Case 1 1-16,text,true,,20861,515,3,18,https://my-jmeter-site.ddev.site/user/login,7,0,0
1749973895792,108,Enter credentials,200,OK,Test Case 3 3-17,text,true,,24576,1378,3,18,https://my-jmeter-site.ddev.site/user/4?check_logged_in=1,67,0,0
1749973895792,67,Enter credentials-0,303,See Other,Test Case 3 3-17,text,true,,1136,704,3,18,https://my-jmeter-site.ddev.site/user/login,67,0,0
1749973895859,41,Enter credentials-1,200,OK,Test Case 3 3-17,text,true,,23440,674,3,18,https://my-jmeter-site.ddev.site/user/4?check_logged_in=1,39,0,0
1749973896057,13,Open home page,200,OK,Test Case 6 6-15,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,13,0,4
1749973896100,15,Open home page,200,OK,Test Case 5 5-15,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,14,0,7
1749973896184,16,Open home page,200,OK,Test Case 3 3-15,text,true,,74152,505,3,18,https://my-jmeter-site.ddev.site/,16,0,6
1749973896513,24,Open content,200,OK,Test Case 1 1-17,text,true,,28197,608,4,24,https://my-jmeter-site.ddev.site/node/41,23,0,0
1749973896594,8,Click Login,200,OK,Test Case 3 3-16,text,true,,20861,515,4,24,https://my-jmeter-site.ddev.site/user/login,8,0,0
1749973896739,8,Click Login,200,OK,Test Case 2 2-15,text,true,,20861,515,4,24,https://my-jmeter-site.ddev.site/user/login,8,0,0
1749973896736,16,Open home page,200,OK,Test Case 4 4-15,text,true,,74152,505,4,24,https://my-jmeter-site.ddev.site/,15,0,6
1749973896776,8,Click Login,200,OK,Test Case 1 1-15,text,true,,20861,515,4,24,https://my-jmeter-site.ddev.site/user/login,8,0,0
1749973896905,7,Open content,200,OK,Test Case 6 6-16,text,true,,23225,512,4,24,https://my-jmeter-site.ddev.site/node/35,7,0,0
1749973897088,14,Open home page,200,OK,Test Case 5 5-17,text,true,,74152,505,4,24,https://my-jmeter-site.ddev.site/,14,0,5
1749973897135,23,Open content,200,OK,Test Case 3 3-17,text,true,,27853,608,4,24,https://my-jmeter-site.ddev.site/node/40,22,0,0
1749973897159,6,Open content,200,OK,Test Case 4 4-17,text,true,,22490,512,4,24,https://my-jmeter-site.ddev.site/node/48,6,0,0
1749973897259,8,Open feedback page,200,OK,Test Case 6 6-17,text,true,,22188,512,4,24,https://my-jmeter-site.ddev.site/contact,7,0,0
1749973897336,15,Open home page,200,OK,Test Case 5 5-14,text,true,,74152,505,4,24,https://my-jmeter-site.ddev.site/,15,0,4
1749973897414,8,Open content,200,OK,Test Case 5 5-16,text,true,,23052,512,4,24,https://my-jmeter-site.ddev.site/node/19,8,0,0
1749973897476,9,Open content,200,OK,Test Case 6 6-15,text,true,,25331,512,4,24,https://my-jmeter-site.ddev.site/node/41,9,0,0
1749973897558,16,Open home page,200,OK,Test Case 2 2-14,text,true,,74152,505,4,24,https://my-jmeter-site.ddev.site/,16,0,6
1749973897649,9,Search a keyword,200,OK,Test Case 5 5-15,text,true,,29232,526,4,24,https://my-jmeter-site.ddev.site/search/node?keys=abdo,9,0,0
1749973897576,124,Enter credentials,200,OK,Test Case 2 2-16,text,true,,24592,1379,4,24,https://my-jmeter-site.ddev.site/user/15?check_logged_in=1,76,0,0
1749973897576,76,Enter credentials-0,303,See Other,Test Case 2 2-16,text,true,,1141,704,4,24,https://my-jmeter-site.ddev.site/user/login,76,0,0
1749973897652,48,Enter credentials-1,200,OK,Test Case 2 2-16,text,true,,23451,675,4,24,https://my-jmeter-site.ddev.site/user/15?check_logged_in=1,46,0,0
1749973897668,74,Search a keyword,200,OK,Test Case 2 2-17,text,true,,32152,622,4,24,https://my-jmeter-site.ddev.site/search/node?keys=abdo,72,0,0
1749973897748,12,Open home page,200,OK,Test Case 4 4-16,text,true,,74152,505,4,24,https://my-jmeter-site.ddev.site/,12,0,5
1749973897780,107,Enter credentials,200,OK,Test Case 2 2-15,text,true,,24580,1382,4,24,https://my-jmeter-site.ddev.site/user/3?check_logged_in=1,69,0,0
1749973897780,69,Enter credentials-0,303,See Other,Test Case 2 2-15,text,true,,1140,704,4,24,https://my-jmeter-site.ddev.site/user/login,69,0,0
1749973897849,38,Enter credentials-1,200,OK,Test Case 2 2-15,text,true,,23440,678,4,24,https://my-jmeter-site.ddev.site/user/3?check_logged_in=1,35,0,0
